"Time","Event",""
"00:58.046","Valigarmanda 1 Burns  Hoshi Shoten Tick  6970 (U: 11814) (T: 34, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 39)--41% damage",""
"00:58.091","Multiple Enemies Combined DoTs  Varka Das'tral Tick  4740 (U: 4740)",""
"00:58.091","Valigarmanda 1 Burns  Varka Das'tral Tick  4740 (U: 8034) (T: 44, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 50)--41% damage",""
"00:58.135","Multiple Enemies Combined DoTs  Fedrea Reed Tick  4763 (U: 4763)",""
"00:58.135","Valigarmanda 1 Burns  Fedrea Reed Tick  4763 (U: 8073) (T: 28, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 32)--41% damage",""
"01:01.120","Valigarmanda prepares  attack  on  Fedrea Reed 37038 (U: 37038)",""
"01:02.100","Valigarmanda attack  Fedrea Reed 37038 (U: 37038)",""
"01:04.152","Valigarmanda prepares  attack  on  Fedrea Reed 12886 (U: 12886)",""
"01:05.134","Valigarmanda attack  Fedrea Reed 12886 (A: 26307) (U: 39193)",""
"01:07.182","Valigarmanda prepares  attack  on  Fedrea Reed 38465 (U: 38465)",""
"01:08.162","Valigarmanda attack  Fedrea Reed 38465 (U: 38465)",""
"01:18.185","Valigarmanda 5 prepares  Charring Cataclysm  on Snow Wishzz 64151 (U: 79199)--19% damage",""
"01:18.185","Valigarmanda 5 prepares  Charring Cataclysm  on  Varka Das'tral 29005 (U: 32228)--10% damage",""
"01:18.187","Valigarmanda 2 prepares  Charring Cataclysm  on Flann Firebrand 70717 (U: 78575)--10% damage",""
"01:18.187","Valigarmanda 2 prepares  Charring Cataclysm  on  Fedrea Reed 39568 (U: 43965)--10% damage",""
"01:18.187","Valigarmanda 3 prepares  Charring Cataclysm  on Seraphija Arinsia 66807 (U: 74230)--10% damage",""
"01:18.187","Valigarmanda 3 prepares  Charring Cataclysm  on  Hoshi Shoten 58514 (U: 65016)--10% damage",""
"01:18.187","Valigarmanda 4 prepares  Charring Cataclysm  on Nej'mii Ulmuhii'e 57161 (U: 63513)--10% damage",""
"01:18.187","Valigarmanda 4 prepares  Charring Cataclysm  on  Nephelia Sol'aria 52229 (U: 58033)--10% damage",""
"01:18.810","Valigarmanda 5 Charring Cataclysm Snow Wishzz 64151 (A: 17600) (U: 100928, M: 19177, 19.00%)",""
"01:18.810","Valigarmanda 2 Charring Cataclysm Flann Firebrand 70717 (A: 17722) (U: 98267, M: 9828, 10.00%)",""
"01:18.810","Valigarmanda 3 Charring Cataclysm Seraphija Arinsia 66807 (A: 17514) (U: 93690, M: 9369, 10.00%)",""
"01:18.810","Valigarmanda 4 Charring Cataclysm Nej'mii Ulmuhii'e 57161 (A: 25819) (U: 92202, M: 9222, 10.00%)",""
"01:18.854","Valigarmanda 5 Charring Cataclysm  Varka Das'tral 29005 (A: 24969) (U: 59972, M: 5998, 10.00%)",""
"01:18.854","Valigarmanda 2 Charring Cataclysm  Fedrea Reed 39568 (A: 16718) (U: 62541, M: 6255, 10.00%)",""
"01:18.854","Valigarmanda 3 Charring Cataclysm  Hoshi Shoten 58514 (A: 25477) (U: 93324, M: 9333, 10.00%)",""
"01:18.854","Valigarmanda 4 Charring Cataclysm  Nephelia Sol'aria 52229 (A: 27630) (U: 88734, M: 8875, 10.00%)",""
"01:23.222","Valigarmanda prepares  attack  on  Fedrea Reed 8349 (U: 9277)--10% damage",""
"01:24.202","Valigarmanda attack  Fedrea Reed 8349 (A: 25628) (U: 37754, M: 3777, 10.00%)",""
"01:26.250","Valigarmanda prepares  attack  on  Fedrea Reed 34636 (U: 38485)--10% damage",""
"01:27.233","Valigarmanda attack  Fedrea Reed 34636 (U: 38485, M: 3849, 10.00%)",""
"01:38.905","Valigarmanda 1 prepares  Mountain Fire  on  Fedrea Reed 36820 (U: 53479)--31% damage",""
"01:39.083","Valigarmanda 1 Mountain Fire  Fedrea Reed 36820 (A: 84995) (U: 176930, M: 55115, 31.15%)",""
"01:40.106","Multiple Enemies Combined DoTs  Fedrea Reed Tick  17806 (U: 17806)",""
"01:40.106","Valigarmanda 1 Burns  Fedrea Reed Tick  17806 (U: 25806) (T: 35, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.69, M: 0.69, S: 40)--31% damage",""
"01:43.139","Multiple Enemies Combined DoTs  Fedrea Reed Tick  2640 (A: 16070) (U: 18710)",""
"01:43.139","Valigarmanda 1 Burns  Fedrea Reed Tick  2640 (A: 16070) (U: 27123) (T: 35, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.69, M: 0.69, S: 40)--31% damage",""
"01:43.894","Valigarmanda 1 prepares  Mountain Fire  on  Varka Das'tral 24516 (U: 30645)--20% damage",""
"01:44.073","Valigarmanda 1 Mountain Fire  Varka Das'tral 24516 (A: 101506) (U: 157528, M: 31506, 20.00%)",""
"01:46.076","Multiple Enemies Combined DoTs  Varka Das'tral Tick  6876 (A: 14409) (U: 21285)",""
